Metric,F_pipe,p_pipe,pη2_pipe,F_llm,p_llm,pη2_llm,F_int,p_int,pη2_int
UND,229.28124855101703,7.380247646912657e-81,0.34283444556464204,27.297348006542983,3.151406825681503e-12,0.05847794149456128,53.93238277548716,1.1228055973806558e-40,0.1970619454147697
TRU,302.393795898178,1.1620721105447675e-100,0.40759714876990333,17.788420614116163,2.6719767466560295e-08,0.038899783620646194,57.377197050197616,4.830855745871097e-43,0.20704282243292257
INS,685.1944684685653,4.474440553626137e-180,0.6092272058575667,54.103678427396865,6.928292308882777e-23,0.1096095527484098,123.59504558403479,1.0617689206784505e-83,0.3599732897668521
SAT,503.17238340053336,2.232867070805525e-146,0.5337722757777447,16.599850525060212,8.386645852349145e-08,0.03639521150018036,72.31450433897565,5.50173145231843e-53,0.24759771647925438
CON,297.0110929844114,2.8518619910387905e-99,0.4032676436425347,16.985344262367978,5.785379397625152e-08,0.03720895856977511,58.700383549676374,6.061660483333219e-44,0.21081092725161948
CVN,461.2455680383887,1.0784242338604833e-137,0.5120708715146639,68.80710046923562,1.7297088123438067e-28,0.13536521603911778,75.89101665052324,2.709452273063051e-55,0.25669989066582694
COM,229.34728825932874,7.066818054738201e-81,0.3428993318582539,27.963831421327534,1.6833530607609132e-12,0.059820310239410986,53.075082093167076,4.401616607152076e-40,0.1945388660234782
USB,332.70459856039463,2.6426821031166463e-108,0.43085032021390324,31.776050148662538,4.741354802255365e-14,0.0674255569291902,55.37529145040408,1.136865702743135e-41,0.2012729951451461
